StartTime(UTC),EndTime(UTC),TimeZone,LocationLat,LocationLng,Distance(mi),AirportCode,Number,Street,Side,City,County,State,ZipCode
8/1/2016 2:14,8/1/2016 2:32,US/Pacific,36.8381,-121.631409,0,KSNS,1919,Highway 101,R,Salinas,Monterey,CA,93907
8/1/2016 2:25,8/1/2016 2:36,US/Pacific,37.711067,-121.521729,0,KLVK,,I-580 E,R,Tracy,San Joaquin,CA,95377
8/1/2016 2:25,8/1/2016 2:35,US/Pacific,36.995792,-121.500435,0,KE16,3382,Pacheco Pass Hwy,R,Gilroy,Santa Clara,CA,95020
8/1/2016 2:22,8/1/2016 2:35,US/Pacific,38.382526,-121.4785,0,KSAC,,I-5 S,R,Elk Grove,Sacramento,CA,95757
8/1/2016 1:38,8/1/2016 2:35,US/Pacific,36.984795,-121.46373,0,KE16,6020,Pacheco Pass Hwy,L,Gilroy,Santa Clara,CA,95020
8/1/2016 2:37,8/1/2016 2:49,US/Pacific,38.214657,-122.602669,0,KO69,,Redwood Hwy S,R,Petaluma,Sonoma,CA,94952
8/1/2016 2:28,8/1/2016 2:48,US/Pacific,37.498974,-122.465424,0,KHAF,3479,Cabrillo Hwy N,L,Half Moon Bay,San Mateo,CA,94019
8/1/2016 2:37,8/1/2016 2:47,US/Pacific,37.481552,-122.444908,0,KHAF,1814,Cabrillo Hwy N,L,Half Moon Bay,San Mateo,CA,94019
8/1/2016 2:35,8/1/2016 2:46,US/Pacific,37.465755,-122.433968,0,KHAF,182,Cabrillo Hwy S,R,Half Moon Bay,San Mateo,CA,94019
8/1/2016 2:36,8/1/2016 2:46,US/Pacific,37.048122,-122.012436,0,KWVI,,CA-17 S,R,Scotts Valley,Santa Cruz,CA,95066
8/1/2016 2:39,8/1/2016 2:49,US/Pacific,36.827656,-121.77356,0,KWVI,2006,Highway 1,R,Moss Landing,Monterey,CA,95039
8/1/2016 2:14,8/1/2016 2:49,US/Pacific,36.853188,-121.634651,0,KWVI,,Highway 101,R,Aromas,Monterey,CA,95004
8/1/2016 2:38,8/1/2016 2:49,US/Pacific,37.737934,-121.608231,0,KLVK,,I-580 W,R,Livermore,Alameda,CA,94550
8/1/2016 2:20,8/1/2016 2:48,US/Pacific,37.743404,-121.554474,0,KLVK,,I-205 E,R,Tracy,San Joaquin,CA,95391
8/1/2016 2:31,8/1/2016 2:46,US/Pacific,36.973602,-121.554459,0,KE16,5128,Monterey Rd,R,Gilroy,Santa Clara,CA,95020
8/1/2016 2:38,8/1/2016 2:48,US/Pacific,36.841129,-121.514954,0,KCVH,1340,San Juan Hollister Rd,L,San Juan Bautista,San Benito,CA,95045
8/1/2016 2:26,8/1/2016 2:47,US/Pacific,37.765038,-121.387543,0,KSCK,,I-205 W,R,Tracy,San Joaquin,CA,95304
8/1/2016 2:48,8/1/2016 2:58,US/Pacific,38.268597,-122.66584,0,KO69,,Redwood Hwy S,R,Petaluma,Sonoma,CA,94952
8/1/2016 2:46,8/1/2016 2:57,US/Pacific,37.79977,-122.424294,0,KOAK,2637,Van Ness Ave,R,San Francisco,San Francisco,CA,94109
8/1/2016 2:41,8/1/2016 2:52,US/Pacific,37.788937,-122.422127,0,KOAK,201,Austin St,L,San Francisco,San Francisco,CA,94109
8/1/2016 2:48,8/1/2016 2:58,US/Pacific,38.249805,-122.409576,0,KO69,3042,Fremont Dr,L,Sonoma,Sonoma,CA,95476
8/1/2016 2:40,8/1/2016 2:58,US/Pacific,37.774506,-122.396172,0,KOAK,599,King St,R,San Francisco,San Francisco,CA,94158
8/1/2016 2:46,8/1/2016 2:56,US/Pacific,37.496914,-122.362457,0,KSQL,,Half Moon Bay Rd,R,Redwood City,San Mateo,CA,94062
8/1/2016 1:20,8/1/2016 2:55,US/Pacific,38.257748,-122.318405,0,KAPC,3252,Sonoma Hwy,R,Napa,Napa,CA,94559
8/1/2016 2:26,8/1/2016 2:57,US/Pacific,37.748245,-122.203217,0,KOAK,,Nimitz Fwy S,R,Oakland,Alameda,CA,94621
8/1/2016 2:29,8/1/2016 2:51,US/Pacific,36.767437,-121.745735,0,KSNS,,CA-156 E,R,Castroville,Monterey,CA,95012
8/1/2016 2:40,8/1/2016 2:57,US/Pacific,36.859917,-121.592804,0,KCVH,,CA-156 W,R,San Juan Bautista,San Benito,CA,95045
8/1/2016 2:36,8/1/2016 2:58,US/Pacific,37.000751,-121.505478,0,KE16,3271,Pacheco Pass Hwy,R,Gilroy,Santa Clara,CA,95020
8/1/2016 2:41,8/1/2016 2:56,US/Pacific,36.841553,-121.477745,0,KCVH,2925,San Juan Hollister Rd,R,San Juan Bautista,San Benito,CA,95045
